,ServiceProvider,TestType,LSA,month,DataSpeed,RxLevel
2970,JIO,download,Himachal Pradesh,2020-07-01,9140.225740551583,-88.09805924412666
2971,JIO,download,Himachal Pradesh,2020-08-01,6933.675392670157,-88.64816753926702
2972,JIO,download,Himachal Pradesh,2020-09-01,7511.821805392731,-87.59085580304807
2973,JIO,download,Himachal Pradesh,2020-10-01,9314.115776081426,-85.37150127226464
2974,JIO,download,Himachal Pradesh,2020-11-01,8658.613520408164,-83.35841836734694
2975,JIO,download,Himachal Pradesh,2020-12-01,8599.901123595506,-79.67528089887641
2976,JIO,download,Jammu & Kashmir,2018-09-01,8998.328377504848,-95.69812540400775
2977,JIO,download,Jammu & Kashmir,2018-10-01,9500.476515151515,-93.69090909090909
2978,JIO,download,Jammu & Kashmir,2018-11-01,8823.34443847394,-94.01504567436862
2979,JIO,download,Jammu & Kashmir,2018-12-01,8074.15756097561,-93.13756097560976
2980,JIO,download,Jammu & Kashmir,2019-01-01,8553.33699489996,-92.32012553942722
2981,JIO,download,Jammu & Kashmir,2019-02-01,8254.447105788424,-91.6501996007984
2982,JIO,download,Jammu & Kashmir,2019-03-01,7717.878540939077,-92.02755141637563
2983,JIO,download,Jammu & Kashmir,2019-04-01,8652.77764565993,-92.76872770511297
2984,JIO,download,Jammu & Kashmir,2019-05-01,9298.768548387097,-92.09516129032258
2985,JIO,download,Jammu & Kashmir,2019-06-01,8133.8799775659,-93.91587212563095
2986,JIO,download,Jammu & Kashmir,2019-07-01,6945.871917808219,-93.77397260273973
2987,JIO,download,Jammu & Kashmir,2019-08-01,7160.404444444444,-93.03111111111112
2988,JIO,download,Jammu & Kashmir,2019-09-01,1723.8947368421052,-103.15789473684211
2989,JIO,download,Jammu & Kashmir,2019-10-01,1965.8666666666666,-98.53333333333333
2990,JIO,download,Jammu & Kashmir,2019-11-01,8338.6,-82.0
2991,JIO,download,Jammu & Kashmir,2019-12-01,7699.25,-94.0
2992,JIO,download,Jammu & Kashmir,2020-01-01,793.5,-98.66666666666667
2993,JIO,download,Jammu & Kashmir,2020-02-01,2525.4285714285716,-77.14285714285714
2994,JIO,download,Jammu & Kashmir,2020-03-01,520.3573667711598,-87.86938349007315
2995,JIO,download,Jammu & Kashmir,2020-04-01,674.928046989721,-91.44640234948605
2996,JIO,download,Jammu & Kashmir,2020-05-01,850.1793893129772,-92.20610687022901
2997,JIO,download,Jammu & Kashmir,2020-06-01,624.5299760191847,-91.98800959232614
2998,JIO,download,Jammu & Kashmir,2020-07-01,922.5614814814815,-90.9437037037037
2999,JIO,download,Jammu & Kashmir,2020-08-01,1488.1374501992032,-89.53386454183267
3000,JIO,download,Jammu & Kashmir,2020-09-01,1279.068607068607,-90.51767151767152
3001,JIO,download,Jammu & Kashmir,2020-10-01,1435.9881235154394,-84.80285035629454
3002,JIO,download,Jammu & Kashmir,2020-11-01,893.3314447592068,-88.04249291784703
3003,JIO,download,Jammu & Kashmir,2020-12-01,1524.637561779242,-88.43822075782538
3004,JIO,download,Karnataka,2018-09-01,18146.113496257156,-92.54051078819903
3005,JIO,download,Karnataka,2018-10-01,35477.054546714724,-77.54879401164402
3006,JIO,download,Karnataka,2018-11-01,33059.555144425874,-76.25865361661495
